+2025-07-07 16:38:29.657 | INFO     | arb.utils.sql_alchemy | user:anonymous | 331   | sql_alchemy.py       | type(table)=<class 'sqlalchemy.orm.decl_api.DeclarativeMeta'>
+2025-07-07 16:38:36.802 | DEBUG    | arb.portal.routes | user:anonymous | 321   | routes.py            | Files received: ['file'], upload_folder=C:\tony_local\pycharm\feedback_portal\portal_uploads
+2025-07-07 16:38:36.802 | DEBUG    | arb.portal.routes | user:anonymous | 335   | routes.py            | Received uploaded file: landfill_operator_feedback_v070_test_01.xlsx
+2025-07-07 16:38:36.802 | DEBUG    | arb.portal.utils.db_ingest_util | user:anonymous | 250   | db_ingest_util.py    | upload_and_update_db() called with request_file=<FileStorage: 'landfill_operator_feedback_v070_test_01.xlsx' ('application/vnd.openxmlformats-officedocument.spreadsheetml.sheet')>
+2025-07-07 16:38:36.802 | DEBUG    | arb.utils.web_html | user:anonymous | 48    | web_html.py          | Attempting to upload request_file.filename='landfill_operator_feedback_v070_test_01.xlsx'
+2025-07-07 16:38:36.802 | DEBUG    | arb.utils.web_html | user:anonymous | 50    | web_html.py          | Upload single file as: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.xlsx
+2025-07-07 16:38:36.804 | DEBUG    | arb.portal.utils.file_upload_util | user:anonymous | 38    | file_upload_util.py  | Adding uploaded file to upload table: file_name=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.xlsx')
+2025-07-07 16:38:37.002 | DEBUG    | arb.portal.utils.file_upload_util | user:anonymous | 46    | file_upload_util.py  | model_uploaded_file=<Uploaded File: 648, Path: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.xlsx, Description: None, Status: File Added>
+2025-07-07 16:38:37.002 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 472   | xl_parse.py          | Excel upload detected: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.xlsx
+2025-07-07 16:38:37.002 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 182   | xl_parse.py          | parse_xl_with_schema_dict() called with xl_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.xlsx'), schema_map=None
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 199   | xl_parse.py          | metadata tab detected in Excel file
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 206   | xl_parse.py          | Schema tab detected in Excel file
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 245   | xl_parse.py          | Extracting data from 'Feedback Form', using the formatting schema 'landfill_v01_00'
+2025-07-07 16:38:37.153 | WARNING  | arb.utils.excel.xl_parse | user:anonymous | 270   | xl_parse.py          | Warning: <initial_leak_concentration> value at <$D$47> is <500> and is of type <<class 'int'>> whereas it should be of type <<class 'float'>>.  Attempting to convert the value to the correct type
+2025-07-07 16:38:37.153 | INFO     | arb.utils.excel.xl_parse | user:anonymous | 285   | xl_parse.py          | Type conversion successful.  value is now <500.0> with type: <<class 'float'>>
+2025-07-07 16:38:37.153 | WARNING  | arb.utils.excel.xl_parse | user:anonymous | 270   | xl_parse.py          | Warning: <re_monitored_concentration> value at <$D$63> is <85> and is of type <<class 'int'>> whereas it should be of type <<class 'float'>>.  Attempting to convert the value to the correct type
+2025-07-07 16:38:37.153 | INFO     | arb.utils.excel.xl_parse | user:anonymous | 285   | xl_parse.py          | Type conversion successful.  value is now <85.0> with type: <<class 'float'>>
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 301   | xl_parse.py          | Initial spreadsheet extraction of 'Feedback Form' yields {'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': datetime.datetime(2024, 6, 25, 0, 0), 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': datetime.datetime(2023, 8, 14, 0, 0), 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': datetime.datetime(2023, 12, 15, 0, 0), 're_monitored_timestamp': datetime.datetime(1900, 3, 25, 0, 0), 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': datetime.datetime(2023, 12, 16, 0, 0), 'last_component_leak_monitoring_timestamp': datetime.datetime(2023, 12, 17, 0, 0), 'additional_notes': 'Q30.  Additional notes or comments.'}
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 305   | xl_parse.py          | Final corrected spreadsheet extraction of 'Feedback Form' yields {'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': datetime.datetime(2024, 6, 25, 0, 0), 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': datetime.datetime(2023, 8, 14, 0, 0), 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': datetime.datetime(2023, 12, 15, 0, 0), 're_monitored_timestamp': datetime.datetime(1900, 3, 25, 0, 0), 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': datetime.datetime(2023, 12, 16, 0, 0), 'last_component_leak_monitoring_timestamp': datetime.datetime(2023, 12, 17, 0, 0), 'additional_notes': 'Q30.  Additional notes or comments.'}
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 475   | xl_parse.py          | Parsed Excel to dict: dict_keys(['metadata', 'schemas', 'tab_contents'])
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 477   | xl_parse.py          | Saving Excel-derived JSON as: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.json   | user:anonymous | 164   | json.py              | json_save_with_meta() called with file_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'), json_options=None, metadata=None, data={'metadata': {'sector': 'Landfill', 'Red (alert) color': '#FFCCCB'}, 'schemas': {'Feedback Form': 'landfill_v01_00'}, 'tab_contents': {'Feedback Form': {'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': datetime.datetime(2024, 6, 25, 0, 0), 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': datetime.datetime(2023, 8, 14, 0, 0), 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': datetime.datetime(2023, 12, 15, 0, 0), 're_monitored_timestamp': datetime.datetime(1900, 3, 25, 0, 0), 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': datetime.datetime(2023, 12, 16, 0, 0), 'last_component_leak_monitoring_timestamp': datetime.datetime(2023, 12, 17, 0, 0), 'additional_notes': 'Q30.  Additional notes or comments.'}}}
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.json   | user:anonymous | 132   | json.py              | json_save() called with file_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'), json_options=None, data={'_metadata_': {'File created at': '2025-07-07T23:38:37.153349+00:00', 'Serialized with': 'utils.json.json_save_with_meta', 'Deserialize with': 'utils.json.json_load_with_meta'}, '_data_': {'metadata': {'sector': 'Landfill', 'Red (alert) color': '#FFCCCB'}, 'schemas': {'Feedback Form': 'landfill_v01_00'}, 'tab_contents': {'Feedback Form': {'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': datetime.datetime(2024, 6, 25, 0, 0), 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': datetime.datetime(2023, 8, 14, 0, 0), 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': datetime.datetime(2023, 12, 15, 0, 0), 're_monitored_timestamp': datetime.datetime(1900, 3, 25, 0, 0), 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': datetime.datetime(2023, 12, 16, 0, 0), 'last_component_leak_monitoring_timestamp': datetime.datetime(2023, 12, 17, 0, 0), 'additional_notes': 'Q30.  Additional notes or comments.'}}}}
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.json   | user:anonymous | 139   | json.py              | JSON saved to file: 'C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'.
+2025-07-07 16:38:37.153 | DEBUG    | arb.portal.utils.db_ingest_util | user:anonymous | 317   | db_ingest_util.py    | File converted or passed through to JSON: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.json   | user:anonymous | 237   | json.py              | json_load_with_meta() called with file_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'), json_options=None
+2025-07-07 16:38:37.153 | DEBUG    | arb.utils.json   | user:anonymous | 206   | json.py              | json_load() called with file_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'), json_options=None
+2025-07-07 16:38:37.168 | DEBUG    | arb.utils.json   | user:anonymous | 237   | json.py              | json_load_with_meta() called with file_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'), json_options=None
+2025-07-07 16:38:37.168 | DEBUG    | arb.utils.json   | user:anonymous | 206   | json.py              | json_load() called with file_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_38_36.json'), json_options=None
+2025-07-07 16:38:37.169 | DEBUG    | arb.portal.utils.db_ingest_util | user:anonymous | 96    | db_ingest_util.py    | xl_dict_to_database() called with xl_dict={'metadata': {'sector': 'Landfill', 'Red (alert) color': '#FFCCCB'}, 'schemas': {'Feedback Form': 'landfill_v01_00'}, 'tab_contents': {'Feedback Form': {'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': datetime.datetime(2024, 6, 25, 0, 0), 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': datetime.datetime(2023, 8, 14, 0, 0), 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': datetime.datetime(2023, 12, 15, 0, 0), 're_monitored_timestamp': datetime.datetime(1900, 3, 25, 0, 0), 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': datetime.datetime(2023, 12, 16, 0, 0), 'last_component_leak_monitoring_timestamp': datetime.datetime(2023, 12, 17, 0, 0), 'additional_notes': 'Q30.  Additional notes or comments.'}}}
+2025-07-07 16:38:37.169 | INFO     | arb.portal.utils.db_introspection_util | user:anonymous | 60    | db_introspection_util.py | [get_ensured_row] ENTRY: table_name=incidences, primary_key_name=id_incidence, id_=4004, add_to_session=False
+2025-07-07 16:38:37.170 | INFO     | arb.portal.utils.db_introspection_util | user:anonymous | 68    | db_introspection_util.py | [get_ensured_row] Table class: <class 'sqlalchemy.ext.automap.incidences'>, Session: True
+2025-07-07 16:38:37.170 | INFO     | arb.portal.utils.db_introspection_util | user:anonymous | 71    | db_introspection_util.py | [get_ensured_row] Attempting to retrieve existing row with id_incidence=4004
+2025-07-07 16:38:37.207 | INFO     | arb.portal.utils.db_introspection_util | user:anonymous | 85    | db_introspection_util.py | [get_ensured_row] Found existing row: <sqlalchemy.ext.automap.incidences object at 0x000001520D8D72D0>, model.id_incidence=4004
+2025-07-07 16:38:37.207 | INFO     | arb.portal.utils.db_introspection_util | user:anonymous | 106   | db_introspection_util.py | [get_ensured_row] RETURN: model=<sqlalchemy.ext.automap.incidences object at 0x000001520D8D72D0>, id_=4004, is_new_row=False
+2025-07-07 16:38:37.207 | INFO     | arb.portal.utils.db_introspection_util | user:anonymous | 111   | db_introspection_util.py | [get_ensured_row] Model session check: True, Model in session: True
+2025-07-07 16:38:37.207 | DEBUG    | arb.utils.wtf_forms_util | user:anonymous | 509   | wtf_forms_util.py    | update_model_with_payload: model=<sqlalchemy.ext.automap.incidences object at 0x000001520D8D72D0>, payload={'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': datetime.datetime(2024, 6, 25, 0, 0), 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': datetime.datetime(2023, 8, 14, 0, 0), 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': datetime.datetime(2023, 12, 15, 0, 0), 're_monitored_timestamp': datetime.datetime(1900, 3, 25, 0, 0), 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': datetime.datetime(2023, 12, 16, 0, 0), 'last_component_leak_monitoring_timestamp': datetime.datetime(2023, 12, 17, 0, 0), 'additional_notes': 'Q30.  Additional notes or comments.', 'sector': 'Landfill'}
+2025-07-07 16:38:37.207 | INFO     | arb.portal.json_update_util | user:anonymous | 58    | json_update_util.py  | [apply_json_patch_and_log] ENTRY: model=incidences, model.id_incidence=4004, updates=37 fields, json_field=misc_json
+2025-07-07 16:38:37.207 | INFO     | arb.portal.json_update_util | user:anonymous | 64    | json_update_util.py  | [apply_json_patch_and_log] Model session: True, Model in session: True
+2025-07-07 16:38:37.207 | INFO     | arb.portal.json_update_util | user:anonymous | 75    | json_update_util.py  | [apply_json_patch_and_log] Initial json_data: {'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': '2024-06-25T07:00:00+00:00', 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': '2023-08-14T07:00:00+00:00', 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': '2023-12-15T08:00:00+00:00', 're_monitored_timestamp': '1900-03-25T08:00:00+00:00', 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': '2023-12-16T08:00:00+00:00', 'last_component_leak_monitoring_timestamp': '2023-12-17T08:00:00+00:00', 'additional_notes': 'Q30.  Additional notes or comments.', 'sector': 'Landfill'}, is_new_row: False
+2025-07-07 16:38:37.207 | INFO     | arb.portal.json_update_util | user:anonymous | 118   | json_update_util.py  | [apply_json_patch_and_log] Applied 0 changes to json_data
+2025-07-07 16:38:37.207 | INFO     | arb.portal.json_update_util | user:anonymous | 124   | json_update_util.py  | [apply_json_patch_and_log] Before commit: model.misc_json={'id_incidence': 4004, 'id_plume': 1234, 'observation_timestamp': '2024-06-25T07:00:00+00:00', 'lat_carb': 35.3211, 'long_carb': -119.5808, 'id_message': '200-02', 'facility_name': 'Q1.  Facility Name', 'id_arb_swis': 'Q2.  Facility SWIS ID', 'contact_name': 'Q3.  Contact Name', 'contact_phone': '555-555-5555', 'contact_email': 'me@email.com', 'inspection_timestamp': '2023-08-14T07:00:00+00:00', 'instrument': 'Q7.  Instrument used to locate the leak (e.g., Fis', 'emission_identified_flag_fk': 'No leak was detected', 'additional_activities': 'Q9.  If no leaks were found, please describe any e', 'initial_leak_concentration': 500.0, 'lat_revised': 35.3211, 'long_revised': -119.5808, 'emission_type_fk': 'Due to a temporary activity (i.e., would be resolved without corrective action when the activity is complete)', 'emission_location': 'Working Face (area where active filling was being conducted at the time of detection)', 'emission_location_notes': 'Q15.  Please provide a more detailed description o', 'emission_cause': 'Other', 'emission_cause_secondary': 'Other', 'emission_cause_tertiary': 'Other', 'emission_cause_notes': 'Q19.  Please provide a more detailed description o', 'mitigation_actions': 'Q20 Answer', 'mitigation_timestamp': '2023-12-15T08:00:00+00:00', 're_monitored_timestamp': '1900-03-25T08:00:00+00:00', 're_monitored_concentration': 85.0, 'included_in_last_lmr': 'No', 'included_in_last_lmr_description': "Q25.  If 'No' to Q24, please explain why the area ", 'planned_for_next_lmr': 'No', 'planned_for_next_lmr_description': "Q27.  If 'No' to Q26, please state why the area wi", 'last_surface_monitoring_timestamp': '2023-12-16T08:00:00+00:00', 'last_component_leak_monitoring_timestamp': '2023-12-17T08:00:00+00:00', 'additional_notes': 'Q30.  Additional notes or comments.', 'sector': 'Landfill'}
+2025-07-07 16:38:37.207 | INFO     | arb.portal.json_update_util | user:anonymous | 125   | json_update_util.py  | [apply_json_patch_and_log] About to commit 0 changes to database
+2025-07-07 16:38:37.302 | INFO     | arb.portal.json_update_util | user:anonymous | 129   | json_update_util.py  | [apply_json_patch_and_log] \u2705 COMMIT SUCCESSFUL: 0 changes committed
